Aff,Neg,Judge,Win
Macalester KH,Emory GR,Sophia Dal Pra,Neg
Macalester WD,Kansas LL,Dawn Pierce,Neg
Emory LY,Kansas SB,Dustyn Beutelspacher,Neg
Michigan SS,Kansas LS,Holden Bukowsky,Neg
UTD KH,George Mason RS,Kwudjwa Osei,Aff
George Mason DE,Emory ST,Avalyn Renee,Aff
Texas FL,Minnesota HU,Jeff Buntin,Aff
Kentucky GS,Michigan CC,Viveth Karthikeyan,Aff
Georgia CL,MoState DN,Aaron Trujillo,Neg
Liberty CL,Michigan BL,Irshad Reza Husain,Aff
UC Berkeley GS,Western Kentucky SS,Lawson Hudson,Aff
Baylor LP,Georgia CP,Carly Wunderlich,Neg
UTD PR,Michigan State JS,Lauren McBlain,Aff
Georgetown GT,UTD DD,Benjamín Noriega,Neg
Wake Forest DK,Kansas LV,Tiff Imbimbo,Aff
George Mason WW,Kansas BW,Nick Fleming,Neg
Western Kentucky FN,Georgetown CA,Gabriel Morbeck,Aff
Northwestern LW,Western Kentucky KC,Aaron Kall,Aff
Indiana TF,Northwestern AK,Patrick Carbone,Aff
UC Berkeley RM,Northwestern AT,Graham Revare,Neg
Kentucky SR,Northwestern LR,Kurt Fifelski,Neg
CSU Long Beach OM,George Mason RT,Valerie McIntosh,Aff
Michigan State GL,Kansas UA,Ethan Greer,Neg
Kansas State SR,Michigan State GS,Tatianna McKenzie,Neg
Michigan BE,Kansas WO,Addison Wagner,Neg
Southern California BR,Michigan State FM,Beau Larsen,Aff
Michigan AO,Kansas TC,Johnnie Stupek,Aff
Emory CR,Dartmouth BP,Matt Conway,Aff
Georgetown LN,Emory AS,Nick Loew,Neg
Liberty SS,Northwestern HP,Peyton Reeves,Aff
UTD KR,Kansas SM,jasmine stidham,Aff
MoState NS,Kansas MH,Solomon Watson,Aff
