Aff,Neg,Judges,Votes,Win
Wyoming CH,CSU Long Beach EJ,"Ryan Cavanaugh																																						Tyler Snelling																																						Tessa Harper","Aff																															Neg																															Neg","2-1																															NEG"
West Georgia KM,Houston IF,"Ec Powers																																						Spencer Roetlin																																						Jack Lassiter","Neg																															Neg																															Neg","3-0																															NEG"
Trinity BK,Wake Forest AB,"Kaine Cherry																																						Lindsey Shook																																						Kevon Haughton","Neg																															Neg																															Neg","3-0																															NEG"
Louisville VJ,NYU JT,"Scott Harris																																						Kristiana Baez-Gustavson																																						Natalie Yehezkel","Neg																															Neg																															Aff","2-1																															NEG"
Wake Forest PW,Kansas State SR,"Jesse Smith																																						Irshad Reza Husain																																						Alonso Pena","Aff																															Aff																															Aff","3-0																															AFF"
MoState DN,Southwestern AF,"James Taylor																																						Niko Sims																																						Bobby Phillips","Aff																															Aff																															Aff","3-0																															AFF"
Trinity KP,Kansas State WD,"Vincent H. Li																																						Jalisa Jackson																																						Ryan Wash","Aff																															Aff																															Aff","3-0																															AFF"
Binghamton TP,James Madison MO,"kenny delph																																						Taylor Brough																																						Daniel Christ","Neg																															Neg																															Neg","3-0																															NEG"
George Mason RS,UTD/Western Kentucky,"Nikola Stamenkovic Diez																																						Tajaih Robinson																																						Dáithí Rooney","Neg																															Aff																															Neg","2-1																															NEG"
Baylor BK,Iowa BL,"Trevor Turner																																						Dimarvin Puerto																																						Geoff Lundeen","Aff																															Aff																															Aff","3-0																															AFF"
North Texas VB,Iowa KS,"Jeff Nagel																																						DavidMichael Woodward																																						Vontrez White","Neg																															Neg																															Aff","2-1																															NEG"
Wake Forest MS,Kansas MH,"Jaysyn Green																																						Michael Harrington																																						Subbi Namakula","Neg																															Aff																															Aff","2-1																															AFF"
Cal State Fullerton DC,Wyoming WW,"Thomas Buttgereit																																						Azja Butler																																						Will Baker","Neg																															Neg																															Aff","2-1																															NEG"
