Aff,Neg,Judges,Votes,Win
Binghamton CK,Wyoming WW,"Chris Loghry																																						Azja Butler																																						Alonso Pena","Aff																															Aff																															Aff","3-0																															AFF"
Wake Forest MS,Northwestern NP,"Jaysyn Green																																						Will Baker																																						Kaine Cherry","Neg																															Neg																															Neg","3-0																															NEG"
Towson DP,Iowa KS,"James Taylor																																						DavidMichael Woodward																																						Kc Vernon","Neg																															Neg																															Neg","3-0																															NEG"
Iowa EW,Baylor BK,"Taylor Brough																																						Eric Morris																																						Jack Moore","Aff																															Aff																															Aff","3-0																															AFF"
CSU Long Beach OM,UTD/Western Kentucky,"Nick Loew																																						Lindsey Shook																																						Tyler Snelling","Aff																															Aff																															Aff","3-0																															AFF"
Kansas SS,James Madison MO,"Jalisa Jackson																																						Daniel Christ																																						Subbi Namakula","Aff																															Neg																															Aff","2-1																															AFF"
Trinity KP,Kansas HS,"Vincent H. Li																																						Kristiana Baez-Gustavson																																						Geoff Lundeen","Neg																															Neg																															Neg","3-0																															NEG"
Iowa AP,MoState DN,"Jackie Poapst																																						Ec Powers																																						Scott Harris","Aff																															Aff																															Aff","3-0																															AFF"
Wake Forest PW,Baylor DL,"Thomas Buttgereit																																						Jesse Smith																																						Kumail Zaidi","Neg																															Neg																															Neg","3-0																															NEG"
NYU JT,UT San Antonio CG,"Akif Choudhury																																						Ryan Cavanaugh																																						Maeve Ella","Neg																															Aff																															Neg","2-1																															NEG"
Wake Forest AB,Georgetown GT,"Stephanie Meshberg																																						Jay Fuchs																																						Nicholas Tilmes","Neg																															Neg																															Aff","2-1																															NEG"
Wake Forest HN,CSU Long Beach EJ,"Trevor Turner																																						Vik Keenan																																						Jeff Nagel","Aff																															Aff																															Aff","3-0																															AFF"
NYU MS,George Mason NG,"Irshad Reza Husain																																						Eli T. Louis																																						Michael Harrington","Aff																															Aff																															Aff","3-0																															AFF"
George Mason WW,Kansas BB,"Justin Kirk																																						Sophia Dal Pra																																						Dáithí Rooney","Aff																															Aff																															Neg","2-1																															AFF"
UTD DD,George Mason DE,"kenny delph																																						Tessa Harper																																						Tajaih Robinson","Neg																															Aff																															Aff","2-1																															AFF"
NYU/Houston MS,Houston IF,,Houston IF advances,Houston IF advances
