Aff,Neg,Judges,Votes,Win
Northwestern AT,Kansas LS,"Kurt Fifelski																																						Scott Phillips																																						Lauren McBlain","Neg																															Neg																															Aff","2-1																															NEG"
Michigan BP,Kentucky SR,"Nikola Stamenkovic Diez																																						Adrian Sendejas																																						Jenny Vazquez Torres","Aff																															Neg																															Aff","2-1																															AFF"
Emory GS,Kansas AU,"Kevin McCaffrey																																						Anthony Trufanov																																						Nick Loew","Neg																															Neg																															Aff","2-1																															NEG"
Northwestern NP,CSU Long Beach OM,"Jefferson Yahom																																						Ryan Cavanaugh																																						Joe Schatz","Neg																															Aff																															Neg","2-1																															NEG"
Northwestern LR,Dartmouth CG,"Carly Wunderlich																																						Gabriel Morbeck																																						Henry Mitchell","Aff																															Aff																															Neg","2-1																															AFF"
Georgetown AC,Iowa EW,"jasmine stidham																																						Temitope Ogundare																																						Christopher Callahan","Neg																															Aff																															Aff","2-1																															AFF"
Michigan CC,UC Berkeley MR,"Jeff Buntin																																						Johnnie Stupek																																						Bryce Rao","Neg																															Aff																															Neg","2-1																															NEG"
Kansas MS,Harvard DS,"Kevin Hirn																																						Jordan Di																																						Nick Fleming","Aff																															Aff																															Aff","3-0																															AFF"
Baylor DL,Emory KS,"DJ Williams																																						Joey Tarnowski																																						Rishi Mukherjee","Aff																															Neg																															Neg","2-1																															NEG"
Kansas HP,NYU MS,"Jazmine Pickens																																						Corey Fisher																																						Kwudjwa Osei","Aff																															Aff																															Aff","3-0																															AFF"
Kentucky GS,Iowa AP,"Chad Meadows																																						Dustyn Beutelspacher																																						Phillip Samuels","Neg																															Neg																															Neg","3-0																															NEG"
Kansas OW,UC Berkeley BU,"Young Kwon																																						Adam White																																						John Turner","Aff																															Aff																															Aff","3-0																															AFF"
Michigan State GL,Binghamton CK,"Storm Lasseter																																						Mikaela Malsin																																						Alaina Walberg","Aff																															Neg																															Aff","2-1																															AFF"
Northwestern PS,Michigan State FM,"Hunter McCullough																																						Tajaih Robinson																																						Gene Bressler","Aff																															Neg																															Aff","2-1																															AFF"
