Aff,Neg,Judges,Votes,Win
Michigan State GL,Dartmouth CG,"Roy Rinehart																																						Kevin Hirn																																						DJ Williams","Aff																															Aff																															Aff","3-0																															AFF"
Northwestern PS,Michigan BP,"Justin Green																																						Sam Gustavson																																						John Turner","Neg																															Neg																															Aff","2-1																															NEG"
Emory LY,Kentucky GS,"Tim Freehan																																						Jeff Buntin																																						Arvind Shankar","Neg																															Neg																															Aff","2-1																															NEG"
Northwestern LR,Baylor DL,"Sam Price																																						Matt Conway																																						Geoff Lundeen","Aff																															Aff																															Aff","3-0																															AFF"
UTD PR,Michigan SS,"Anthony Trufanov																																						Jordan Di																																						Brett Bricker","Neg																															Neg																															Neg","3-0																															NEG"
George Mason WW,Kentucky RW,"Deven Cooper																																						Dimarvin Puerto																																						Scott Phillips","Neg																															Neg																															Neg","3-0																															NEG"
Kansas SS,Michigan ES,"Jason Regnier																																						Justin Kirk																																						Ethan Greer","Neg																															Neg																															Neg","3-0																															NEG"
Stanford LL,Northwestern NP,"Alex Mojica																																						Bennett McGraw																																						Derek Hilligoss","Aff																															Aff																															Aff","3-0																															AFF"
Kansas OW,Texas FL,"Adam White																																						Bella Piekut																																						Gabriel Jankovsky","Aff																															Neg																															Aff","2-1																															AFF"
Michigan CS,Georgetown AC,"Manny Navarrete																																						Ec Powers																																						Anjan Roy","Aff																															Neg																															Neg","2-1																															NEG"
Harvard DS,CSU Long Beach OM,"Solomon Watson																																						AJ Byrne																																						Ryan Cavanaugh","Neg																															Neg																															Neg","3-0																															NEG"
NYU MS,Emory RY,"Hunter McCullough																																						Cade Blenden																																						Jared Spiers","Neg																															Neg																															Neg","3-0																															NEG"
Binghamton CK,Emory GS,"Thomas Babcock																																						Chad Meadows																																						Tajaih Robinson","Aff																															Neg																															Neg","2-1																															NEG"
Kansas LS,Michigan State GS,"Kristiana Baez																																						Nikola Stamenkovic Diez																																						Jim Schultz","Aff																															Aff																															Aff","3-0																															AFF"
Emory KS,Kansas HP,"Nick Lepp																																						Nick Loew																																						Ralph Anderson","Neg																															Aff																															Aff","2-1																															AFF"
Iowa AP,UC Berkeley RM,"jasmine stidham																																						Eric Morris																																						Holden Bukowsky","Aff																															Aff																															Aff","3-0																															AFF"
