Institution,Location,Entry,Code,Mode,Status,Record
Baylor,TX/US,Benton & Keeler,Baylor BK,0,,
Baylor,TX/US,Darwish & Lassen,Baylor DL,0,,
Baylor,TX/US,merriwether & Phillips,Baylor MP,1,,
Binghamton,NY/US,Cohn & King,Binghamton CK,0,,
CSU Long Beach,CA/US,Ortega & Medina,CSU Long Beach OM,0,,
Dartmouth,NH/US,Ben-Abdallah & Carpenter,Dartmouth BC,0,,
Dartmouth,NH/US,Brody & Goyal,Dartmouth BG,0,,
Dartmouth,NH/US,Cai & Goldberg,Dartmouth CG,0,,
Dartmouth,NH/US,Guo & Hatton,Dartmouth GH,0,,
Dartmouth,NH/US,Hant & Gonzalez Arce,Dartmouth HG,0,,
Dartmouth,NH/US,Jones & Rao,Dartmouth JR,0,,
Dartmouth,NH/US,Majhail & Ross,Dartmouth MR,0,,
Dartmouth,NH/US,Park & Tejavanija,Dartmouth PT,0,,
Emory,GA/US,Aggarwal & Stumpff,Emory AS,0,,
Emory,GA/US,Chen & granchi,Emory CG,0,,
Emory,GA/US,Cannaday & Stearns,Emory CS,0,,
Emory,GA/US,Geevarghese & Maxwell,Emory GM,0,,
Emory,GA/US,Gallagher & Song,Emory GS,0,,
Emory,GA/US,Kim & Shirts,Emory KS,0,,
Emory,GA/US,Lobo & Yang,Emory LY,0,,
Emory,GA/US,Rupp & Young,Emory RY,0,,
Emory,GA/US,Tai & Taylor,Emory TT,0,,
George Mason,VA/US,Davis & Gorman,George Mason DG,0,,
George Mason,VA/US,Richter & Taxali,George Mason RT,0,,
George Mason,VA/US,Wright & Witkov,George Mason WW,0,,
Georgetown,DC/US,Aggarwal & Cowan,Georgetown AC,0,,
Georgetown,DC/US,Greenberg & Tamfu,Georgetown GT,0,,
Georgetown,DC/US,Klingler & Li,Georgetown KL,0,,
Georgetown,DC/US,Lastelick & Nanji,Georgetown LN,0,,
Georgia,GA/US,Chapman & Kaidar-Heafetz,Georgia CK,0,,
Georgia,GA/US,Cannon & Pack,Georgia CP,0,,
Gonzaga,WA/US,Gibson & Weinhardt,Gonzaga GW,0,,
Gonzaga,WA/US,Wellman & Roe,Gonzaga RW,0,,
Harvard,MA/US,Chen & Saneyoshi,Harvard CS,0,,
Harvard,MA/US,Deshpande & Sridharan,Harvard DS,0,,
Harvard,MA/US,Facey & Kundu,Harvard FK,0,,
Harvard,MA/US,Synn & Jin,Harvard SJ,0,,
Harvard,MA/US,Aoki & Levitan,"Harvard/Massachusetts, Amherst AL",0,,
Indiana,IN/US,Fish & Truemper,Indiana FT,0,,
Iowa,IA/US,Anderson McElligott & Parfenoff,Iowa AP,0,,
Iowa,IA/US,Bilicki & Sanderson,Iowa BS,0,,
Iowa,IA/US,Eltyeb & Weimar,Iowa EW,0,,
Iowa,IA/US,Kleiman & Severson,Iowa KS,0,,
James Madison,VA/US,Kardos & Pinto,James Madison KP,0,,
James Madison,VA/US,Oehler & Matzen,James Madison OM,0,,
Kansas,KS/US,Ain & Ulven,Kansas AU,0,,
Kansas,KS/US,Bath & McConnell,Kansas BM,0,,
Kansas,KS/US,Bauman & Persson,Kansas BP,0,,
Kansas,KS/US,Chidambaranathan & Suleman,Kansas CS,0,,
Kansas,KS/US,Falin & Chaudhry,Kansas FC,0,,
Kansas,KS/US,Hato & Persinger,Kansas HP,0,,
Kansas,KS/US,June & Boyle,Kansas JB,0,,
Kansas,KS/US,Larson & Schultz,Kansas LS,0,,
Kansas,KS/US,Owings & Willingham,Kansas OW,0,,
Kansas,KS/US,Pace & Blaser,Kansas PB,0,,
