Aff,Neg,Judges,Votes,Win,"Aff								Points","Neg								Points"
NYU JT,Northwestern PS,"Taylor Brough																																						Corey Fisher																																						Jalisa Jackson","Neg																															Neg																															Neg","3-0																															NEG","CTheiding																																																												28.9																																								29.1																																								29.0																																																																																								AJain																																																												28.8																																								29.0																																								28.8","JPacconi																																																												29.4																																								29.8																																								29.2																																																																																								ASouchet																																																												29.5																																								29.9																																								29.4"
Binghamton CK,Michigan State GS,"Michael Harrington																																						Dáithí Rooney																																						Kaine Cherry","Aff																															Aff																															Aff","3-0																															AFF","JCohn																																																												29.3																																								29.6																																								29.6																																																																																								AKing																																																												29.6																																								29.5																																								29.8","AGearring																																																												29.7																																								29.4																																								29.7																																																																																								HShehzad																																																												29.2																																								29.0																																								29.5"
Northwestern LR,Kansas SL,"Margaret Hecht																																						Bella Piekut																																						Tony Miklovis","Aff																															Aff																															Neg","2-1																															AFF","VRubin																																																												29.5																																								29.4																																								29.6																																																																																								MLi																																																												29.4																																								29.6																																								29.7","LSchultz																																																												29.3																																								29.3																																								29.5																																																																																								RLarson																																																												29.6																																								29.5																																								29.8"
Wake Forest DE,UTD DD,"Joshua Michael																																						Julian Kuffour																																						Nate Martin","Neg																															Neg																															Aff","2-1																															NEG","EElliott																																																												29.0																																								29.0																																								29.0																																																																																								MDingley																																																												28.9																																								28.8																																								28.9","JD'Antuono																																																												29.2																																								29.1																																								28.8																																																																																								JDickey																																																												29.3																																								28.9																																								28.7"
Trinity KP,Liberty CL,"Irshad Reza Husain																																						Jazmine Pickens																																						Alex Sherman","Neg																															Neg																															Neg","3-0																															NEG","RPatterson																																																												29.1																																								28.8																																								29.2																																																																																								BKing																																																												29.3																																								28.7																																								29.3","JCunningham																																																												29.7																																								29.1																																								29.5																																																																																								ELayton																																																												29.5																																								29.0																																								29.4"
James Madison OM,Central Oklahoma EW,"Kaleb Horne																																						Ignacio Evans																																						Eric Maag","Aff																															Neg																															Neg","2-1																															NEG","AOehler																																																												29.2																																								28.6																																								28.4																																																																																								MMatzen																																																												29.1																																								28.3																																								28.2","KWalker																																																												29.0																																								28.8																																								28.6																																																																																								EEckard																																																												28.9																																								28.4																																								28.0"
Oklahoma DF,Wyoming CH,"Deven Cooper																																						Azja Butler																																						Ryan Wash","Neg																															Neg																															Neg","3-0																															NEG","EFulkerson																																																												29.0																																								28.7																																								28.5																																																																																								ADuncan																																																												28.9																																								28.6																																								28.4","JCampbell																																																												29.2																																								28.9																																								28.7																																																																																								JHawley																																																												29.5																																								28.8																																								28.9"
Southern California TM,George Mason DE,"Eli T. Louis																																						Thomas Buttgereit																																						T Weddington","Aff																															Neg																															Aff","2-1																															AFF","JMills																																																												28.8																																								29.2																																								28.6																																																																																								MTroup																																																												28.9																																								29.3																																								28.7","ADavis																																																												29.0																																								29.6																																								28.4																																																																																								AEsteves																																																												28.7																																								29.5																																								28.3"
Emory KS,CSU Long Beach OM,"Anjan Roy																																						Sophia Dal Pra																																						Ari Davidson","Neg																															Aff																															Neg","2-1																															NEG","JShirts																																																												29.4																																								29.3																																								29.8																																																																																								AKim																																																												29.2																																								29.0																																								29.7","COrtega																																																												29.7																																								29.2																																								30.0																																																																																								DMedina																																																												29.6																																								29.1																																								29.2"
Michigan BP,George Mason WW,"Dan Bannister																																						Zahir Shaikh																																						Kevin McCaffrey","Aff																															Aff																															Aff","3-0																															AFF","EBarrett																																																												29.7																																								29.6																																								29.5																																																																																								JPark																																																												29.6																																								29.5																																								29.3","AWright																																																												29.3																																								29.0																																								29.1																																																																																								BWitkov																																																												29.0																																								28.9																																								29.0"
