Aff,Neg,Judges,Votes,Win
Michigan SS,Kentucky SR,"Irshad Reza Husain																																						Justin Green																																						Kenji Aoki																																						Justin Kirk																																						Ec Powers","Neg																															Aff																															Aff																															Aff																															Aff","4-1																															AFF"
Harvard DS,Michigan State GL,"Zahir Shaikh																																						Joey Tarnowski																																						Graham Revare																																						Zidao Wang																																						Anthony Trufanov","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Northwestern AT,Binghamton CK,"Jared Adam																																						Chad Meadows																																						Neil Butt																																						Adam Lipton																																						Sam Price","Aff																															Neg																															Neg																															Aff																															Neg","3-2																															NEG"
Emory KS,Northwestern PS,"Devane Murphy																																						Alex Mojica																																						Tajaih Robinson																																						William Jensen																																						Kumail Zaidi","Aff																															Neg																															Aff																															Neg																															Aff","3-2																															AFF"
Kentucky GS,UC Berkeley MR,"Gabriel Morbeck																																						Valerie McIntosh																																						Jimin Park																																						Carly Wunderlich																																						Kieran Lawless","Neg																															Neg																															Aff																															Neg																															Aff","3-2																															NEG"
Northwestern LR,Liberty CL,"Brian DeLong																																						Brendon Bankey																																						Jesse Smith																																						Christopher Callahan																																						Alaina Walberg","Aff																															Neg																															Neg																															Aff																															Neg","3-2																															NEG"
George Mason WW,Michigan BP,"Lincoln Garrett																																						David Griffith																																						Jordan Di																																						Tyler Vergho																																						Henry Mitchell","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Michigan ES,Texas FL,"Johnnie Stupek																																						Young Kwon																																						Sripad Yadagiri																																						Scott Phillips																																						Brett Bricker","Neg																															Neg																															Aff																															Neg																															Neg","4-1																															NEG"
UC Berkeley BU,Dartmouth CG,"Dan Bannister																																						Jeff Buntin																																						Gabriel Jankovsky																																						Adam White																																						Bella Piekut","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Kansas SL,UTD RP,"Ethan Greer																																						Viveth Karthikeyan																																						Margaret Hecht																																						Kevin Hirn																																						Nick Fleming","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Kansas HP,Macalester HK,"Tessa Harper																																						Kristiana Baez-Gustavson																																						Corey Fisher																																						Ari Davidson																																						Julian Kuffour","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Iowa AP,Kansas WO,"Lauren McBlain																																						Gene Bressler																																						Mikaela Malsin																																						Jason Regnier																																						John Turner","Neg																															Neg																															Neg																															Aff																															Aff","3-2																															NEG"
Emory LY,NYU MS,"Abhis Sedhai																																						Sophia Dal Pra																																						Joshua Michael																																						Nate Martin																																						Rishi Mukherjee","Aff																															Aff																															Neg																															Aff																															Neg","3-2																															AFF"
