Aff,Neg,Judges,Votes,Win
Harvard DS,Kansas LS,"Dimarvin Puerto																																						Lauren McBlain																																						Sophia Dal Pra","Aff																															Neg																															Neg","2-1																															NEG"
Wake Forest PS,Michigan State GL,"Nate Martin																																						DJ Williams																																						Kristiana Baez","Neg																															Neg																															Neg","3-0																															NEG"
Binghamton CK,Kansas BW,"Tripp Rebrovick																																						Tajaih Robinson																																						Henry Mitchell","Neg																															Neg																															Aff","2-1																															NEG"
UC Berkeley UB,Michigan BP,"Jordan Di																																						Dan Bannister																																						Zahir Shaikh","Neg																															Neg																															Neg","3-0																															NEG"
Georgetown AC,West Georgia KK,"Deven Cooper																																						Devane Murphy																																						Lincoln Garrett","Neg																															Neg																															Neg","3-0																															NEG"
Southern California BR - ONLINE,Emory GS,"Nick Loew																																						William Jensen																																						Ned Gidley","Neg																															Neg																															Neg","3-0																															NEG"
Kansas OW,Stanford LL - ONLINE,"Adrienne Brovero																																						William Repko																																						Bryce Rao","Aff																															Aff																															Aff","3-0																															AFF"
Baylor DL,Emory LY,"Spencer Roetlin																																						Anthony Trufanov																																						Sam Price","Aff																															Neg																															Neg","2-1																															NEG"
CSU Long Beach OM,Kansas AU,"Lawson Hudson																																						Valerie McIntosh																																						Mikaela Malsin","Neg																															Aff																															Aff","2-1																															AFF"
UTD PR,Kansas PH,"Kwudjwa Osei																																						Margaret Hecht																																						Geoff Lundeen","Neg																															Neg																															Neg","3-0																															NEG"
Michigan SS,Liberty CL,"Johnnie Stupek																																						John Turner																																						Nathan Davis","Aff																															Aff																															Aff","3-0																															AFF"
UTD HK,Michigan ES,"Shannon Howley																																						Jeff Nagel																																						Nick Fleming","Aff																															Neg																															Neg","2-1																															NEG"
Iowa PA,Northwestern PS,"Jaysyn Green																																						kenny delph																																						Eli T. Louis","Neg																															Neg																															Neg","3-0																															NEG"
Northwestern LR,Kentucky GS,"Kevin McCaffrey																																						Gabriel Morbeck																																						Aaron Kall","Aff																															Aff																															Neg","2-1																															AFF"
Dartmouth CG,Northwestern AT,"Graham Revare																																						Adam White																																						Brett Bricker","Aff																															Aff																															Neg","2-1																															AFF"
