Aff,Neg,Judges,Votes,Win
Northwestern LL,Emory SG,"Brandon Kelley																																						Kieran Lawless																																						Brett Bricker																																						Kevin Hirn																																						Graham Revare","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Michigan BP,Kansas AU,"Kevin McCaffrey																																						Johnnie Stupek																																						Dan Bannister																																						Gabriel Morbeck																																						Viveth Karthikeyan","Aff																															Aff																															Neg																															Aff																															Aff","4-1																															AFF"
Emory KS,Kansas LS,"Thomas Babcock																																						Devane Murphy																																						Ari Davidson																																						Kwudjwa Osei																																						Sophia Dal Pra","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
CSU Long Beach OM,UC Berkeley UB,"William Jensen																																						Valerie McIntosh																																						Nikola Stamenkovic Diez																																						AJ Byrne																																						Nathan Rothenbaum","Aff																															Neg																															Aff																															Neg																															Aff","3-2																															AFF"
UTD DD,Georgetown AC,"Tony Miklovis																																						Tyler Snelling																																						Joe Weideman																																						Joe Schatz																																						Nick Fleming","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Michigan SS,Georgetown GT,"Sam Gustavson																																						Pav Reddy																																						Matt Conway																																						Thomas Reese																																						Ian Dill","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Northwestern PS,UC Berkeley MR,"Alex McVey																																						Erik Mathis																																						Jefferson Yahom																																						Brendon Bankey																																						Ralph Anderson","Neg																															Aff																															Neg																															Neg																															Neg","4-1																															NEG"
Kansas HP,Michigan CC,"Allegro Wang																																						Gene Bressler																																						Ethan Greer																																						Nine Abad																																						Jenny Vazquez Torres","Aff																															Aff																															Neg																															Aff																															Aff","4-1																															AFF"
Northwestern LR,Iowa PA,"Shannon Howley																																						Alex Mojica																																						Jesse Smith																																						Mikaela Malsin																																						Margaret Hecht","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Texas FL,Iowa EW,"Lawson Hudson																																						Justin Kirk																																						Maverick Edwards																																						Noah Reed																																						Terrell Taylor","Neg																															Aff																															Aff																															Neg																															Neg","3-2																															NEG"
Northwestern AT,Binghamton CK,"Neil Butt																																						Jared DeMunbrun																																						Adam Lee																																						Peyton Reeves																																						Adam White","Neg																															Neg																															Neg																															Neg																															Aff","4-1																															NEG"
Kansas SS,Emory LY,"Tajaih Robinson																																						KJ Reese																																						Vontrez White																																						Kumail Zaidi																																						Chad Meadows","Aff																															Neg																															Neg																															Neg																															Neg","4-1																															NEG"
Baylor DL,Michigan State GL,"Dawn Pierce																																						Alaina Walberg																																						Spencer Roetlin																																						Brian DeLong																																						Gabriel Jankovsky","Neg																															Neg																															Neg																															Neg																															Neg","5-0																															NEG"
Kansas OW,Northwestern NP,"Chris Loghry																																						Hunter McCullough																																						Geoff Lundeen																																						John Turner																																						Sam Price","Aff																															Aff																															Neg																															Aff																															Aff","4-1																															AFF"
Michigan ES,Kentucky RW,"Jason Regnier																																						Jeff Nagel																																						Ec Powers																																						Jacob Wilkus																																						Jack Booth","Aff																															Aff																															Aff																															Aff																															Aff","5-0																															AFF"
Liberty LC,Harvard DS,"Dimarvin Puerto																																						Ben Biggs																																						Roy Rinehart																																						Joshua Michael																																						DJ Williams","Neg																															Aff																															Aff																															Aff																															Aff","4-1																															AFF"
