Aff,Neg,Judge,Win
Houston HM,Northwestern LW,Ned Gidley,Neg
Kansas SL,George Mason RT,Nick Fleming,Aff
Oklahoma DF,Baylor MP,Viveth Karthikeyan,Neg
Emory GS,Northwestern LL,Bryce Rao,Aff
Indiana DJ,Emory GM,Anthony Trufanov,Neg
Emory KW,Michigan OJ,Ben Biggs,Neg
Michigan BP,Kansas BP,Ethan Greer,Aff
Michigan BL,Iowa BS,Dustyn Beutelspacher,Aff
Georgetown AC,Southern California TM,Temitope Ogundare,Aff
Michigan SS,Kansas HF,Gene Bressler,Aff
Trinity BK,Southern California BM,Nikola Stamenkovic Diez,Neg
Northwestern LR,UC Berkeley SG,Gabriel Morbeck,Aff
Emory CG,Kansas ST,Tim Freehan,Neg
Georgetown CX,UTD KR,Jack Lassiter,Aff
CSU Long Beach OM,Wake Forest DE,Mikaela Malsin,Aff
UTD PR,Dartmouth JR,Alaina Walberg,Aff
Michigan State GL,Wake Forest PS,Jackie Poapst,Aff
Oklahoma BW,MoState NS,Scott Phillips,Neg
Iowa PA,Kansas LP,Hunter McCullough,Aff
Kansas WO,Northwestern AK,Sam Price,Aff
James Madison KP,Kansas State DR,Max Wiessner,Neg
Binghamton PT,Wake Forest HN,Jay Fuchs,Neg
Binghamton CK,NYU JT,Nigel Taylor-Ward,Aff
Emory LY,Georgia CP,Jacob Wilkus,Aff
Kansas FC,Emory CR,Gabriel Jankovsky,Aff
Kansas FS,Wyoming WW,Nine Abad,Neg
Kansas AU,Wichita State GM,William Jensen,Aff
Michigan ES,Wyoming CH,Jameson Balda,Aff
Northwestern HP,Emory AS,Zidao Wang,Neg
Michigan State JS,Kansas BS,Dan Bannister,Neg
Northwestern PS,Minnesota HU,Will Baker,Aff
Northwestern LO,Western Kentucky KC,Sam Gustavson,Neg
Emory KS,CSU Long Beach ES,Ec Powers,Aff
UC Berkeley BU,Trinity KP,Julian Kuffour,Aff
Dartmouth BG,Southern California BR,Chad Meadows,Neg
Central Oklahoma EW,Georgetown GT,Shanara Reid-Brinkley,Neg
Texas FL,Wake Forest MS,Grace McManus,Aff
Harvard CS,Georgetown LN,Azja Butler,Neg
Emory RY,Houston IF,Jared Spiers,Aff
Dartmouth CG,Baylor BK,Matt Conway,Aff
Indiana FT,Southern California DT,John Turner,Neg
Wake Forest LW,James Madison MO,Tatianna Mckenzie,Aff
George Mason RS,Wyoming HP,Irshad Reza Husain,Aff
Kansas BB,Michigan State FM,Spencer Roetlin,Neg
Iowa EW,Georgia CK,Lindsey Shook,Aff
Baylor DL,West Point OS,Tyler Snelling,Aff
MoState BH,Western Kentucky NF,Brian DeLong,Neg
Kansas VL,UTD HH,Adrienne Brovero,Neg
Harvard DS,Kansas BW,Henry Mitchell,Neg
Kansas State DS,Dartmouth HP,Erik Mathis,Neg
Northwestern AP,Southern Nazarene HS,Aaron Trujillo-,Aff
Kansas SS,George Mason WW,Jenny Vazquez Torres,Aff
Kansas HL,Iowa KS,Maverick Edwards,Neg
Kentucky GS,Macalester KH,Johnnie Stupek,Aff
Cal State Fullerton MN,Wyoming LW,Dimarvin Puerto,Aff
Utah WV,Dartmouth BC,Alex Mojica,Neg
Liberty CL,UTD DD,Tajaih Robinson,Aff
Dartmouth GH,Kansas State LW,Nick Lepp,Neg
Wake Forest AB,NYU MS,Benjamín Noriega,Neg
Michigan State GS,NYU KK,Flynn Makuch,Aff
Emory ST,Cal State Fullerton CD,Jordan Di,Aff
UC Berkeley RM,MoState GC,Storm Lasseter,Aff
Texas GS,George Mason ED,Akif Choudhury,Neg
Oklahoma DT,Utah PP,Deven Cooper,Aff
Kentucky SR,UTD HK,Ryan Cavanaugh,Aff
Michigan CS,Emory SW,Tyler Vergho,Aff
