Aff,Neg,Judges,Votes,Win
Kentucky GS,Michigan BP,"Gabriel Morbeck																																						Margaret Hecht																																						Dan Bannister","Neg																															Neg																															Neg","3-0																															NEG"
Houston IF,CSU Long Beach OM,"Azja Butler																																						Ryan Cavanaugh																																						Beau Larsen","Neg																															Neg																															Neg","3-0																															NEG"
Emory GS,Kansas SS,"Kumail Zaidi																																						Hunter McCullough																																						Jackie Poapst","Aff																															Aff																															Aff","3-0																															AFF"
Michigan State GS,Kansas SL,"Devane Murphy																																						Kristiana Baez-Gustavson																																						Jack Moore","Aff																															Neg																															Neg","2-1																															NEG"
Michigan SS,Iowa EW,"John Turner																																						DJ Williams																																						Pav Reddy","Aff																															Aff																															Aff","3-0																															AFF"
UC Berkeley RM,Kansas AU,"Anthony Trufanov																																						Viveth Karthikeyan																																						Johnnie Stupek","Aff																															Aff																															Neg","2-1																															AFF"
Northwestern LR,Emory KS,"Sam Price																																						Valerie McIntosh																																						Zidao Wang","Aff																															Neg																															Neg","2-1																															NEG"
Harvard DS,Michigan ES,"William Repko																																						Jared Spiers																																						David Griffith","Neg																															Neg																															Aff","2-1																															NEG"
Michigan State GL,Georgetown AC,"Ian Dill																																						Kevin Hirn																																						Ned Gidley","Neg																															Aff																															Neg","2-1																															NEG"
NYU MS,Emory RY,"Matt Conway																																						Dustyn Beutelspacher																																						Joshua Michael","Neg																															Neg																															Neg","3-0																															NEG"
Northwestern AP,Iowa PA,"Lawson Hudson																																						Will Baker																																						Ec Powers","Neg																															Neg																															Neg","3-0																															NEG"
Emory LY,Kansas BW,"Brandon Kelley																																						Tony Miklovis																																						Nick Fleming","Neg																															Aff																															Aff","2-1																															AFF"
UTD PR,Binghamton CK,"Adam Lipton																																						Alaina Walberg																																						Spencer Roetlin","Neg																															Neg																															Aff","2-1																															NEG"
Emory AS,Baylor DL,"Scott Phillips																																						Julian Kuffour																																						Nine Abad","Neg																															Aff																															Neg","2-1																															NEG"
Kansas WO,Northwestern PS,"Alex Mojica																																						Jeff Nagel																																						Roy Rinehart","Neg																															Neg																															Aff","2-1																															NEG"
Michigan State FM,Dartmouth CG,"Dawn Pierce																																						Adrienne Brovero																																						Graham Revare","Neg																															Neg																															Neg","3-0																															NEG"
