Aff,Neg,Judges,Votes,Win
Harker JS,Marlborough OO,"Mark Kivimaki																																						Anika Ganesh																																						Ethan Chen","Neg																															Neg																															Neg","3-0																															NEG"
Peninsula SU,OC Policy Association JS,"Michael Brand																																						Abhinav Kasturi																																						Elvis Pineda","Aff																															Aff																															Aff","3-0																															AFF"
Harker LC,Marlborough DK,"Adam Mimou																																						Noah Christiansen																																						Kavin Kumaravel","Aff																															Aff																															Aff","3-0																															AFF"
Loyola MT,Harker SD,"Vansh Angi																																						Jonathan Meza																																						Ethan Chen","Neg																															Neg																															Neg","3-0																															NEG"
Harker SS,Archbishop Mitty AM,"Manank Doshi																																						Kavin Kumaravel																																						Clare Bradley","Aff																															Aff																															Aff","3-0																															AFF"
Peninsula JE,Harker NB,"Abhinav Kasturi																																						Simone Pisarik																																						Gerard Grigsby","Neg																															Neg																															Aff","2-1																															NEG"
Harvard-Westlake AS,Bellevue JS,"Jacob Nails																																						Alexia Gallon																																						Simone Pisarik","Aff																															Neg																															Aff","2-1																															AFF"
Peninsula DN,Harker SSe,"Elodie Szlasa																																						Curtis Ortega																																						Adarsh Agrawal","Neg																															Neg																															Neg","3-0																															NEG"
San Marino KH,Lynbrook BZ,"Sreenivasulu Kankanala																																						Patrick Fox																																						Emmelyne Lay","Neg																															Neg																															Neg","3-0																															NEG"
Harker AA,Monta Vista SC,"Adam Mimou																																						Nathan Saper																																						Eric McCormick","Neg																															Aff																															Aff","2-1																															AFF"
Harker TP,Sonoma AM,"Christopher Liu																																						Gerard Grigsby																																						Zhian Xu","Aff																															Aff																															Neg","2-1																															AFF"
Lynbrook OM,Marlborough SMo,"Arthur Qin																																						Tanya Wei																																						Emmelyne Lay","Aff																															Aff																															Aff","3-0																															AFF"
Barrington AC,Mountain View AW,"Sai Karavadi																																						Stephen Lewis																																						Vontrez White","Neg																															Aff																															Aff","2-1																															AFF"
ADL VK,Harker AS,"Eric McCormick																																						Jonathan Meza																																						Arjun Banerjee","Neg																															Neg																															Neg","3-0																															NEG"
Westwood AU,Marlborough RB,"Shreeram Modi																																						Aaron Kim																																						Christian Bohmer","Neg																															Aff																															Aff","2-1																															AFF"
Loyola TH,Lynbrook AS,"Nathan Saper																																						Alan Fishman																																						Conner Shih","Neg																															Aff																															Aff","2-1																															AFF"
Interlake JP,Dougherty Valley SV,"Zaid Umar																																						Manank Doshi																																						Ethan Greer","Aff																															Neg																															Aff","2-1																															AFF"
Immaculate Heart AE,Riverside Independent SH,"Kyle Quinlan																																						Vontrez White																																						Zhian Xu","Aff																															Neg																															Neg","2-1																															NEG"
Lynbrook VV,Isidore Newman DC,"Michael Williams																																						Patrick Fox																																						DH Henderson","Aff																															Aff																															Aff","3-0																															AFF"
Marlborough AK,Harker ASa,"Gordon Krauss																																						Noah Christiansen																																						Christopher Liu","Neg																															Neg																															Neg","3-0																															NEG"
Marlborough AM,Harvard-Westlake EG,"Mark Kivimaki																																						Tanya Wei																																						Adam Lipton","Aff																															Aff																															Aff","3-0																															AFF"
Loyola UT,Evergreen Valley SK,"Alan Fishman																																						Valerie Li																																						Adarsh Agrawal","Neg																															Neg																															Neg","3-0																															NEG"
Harker JY,Sharks Independent WL,"Avery Wilson																																						Lucia Patterson																																						Isaac Chan","Neg																															Neg																															Neg","3-0																															NEG"
Gunn SP,Awty International AZ,"Michael Brand																																						Anika Ganesh																																						Stephen Lewis","Aff																															Neg																															Aff","2-1																															AFF"
Monta Vista EY,Harker ID,"Avery Wilson																																						Curtis Ortega																																						Sai Karavadi","Neg																															Aff																															Aff","2-1																															AFF"
BASIS Silicon Valley VP,Southlake Carroll SK,"Conner Shih																																						Arthur Qin																																						jason courville","Aff																															Aff																															Aff","3-0																															AFF"
ModernBrain JR,Loyola TG,"Jacob Nails																																						Aaron Kim																																						Elvis Pineda","Aff																															Neg																															Aff","2-1																															AFF"
Harvard-Westlake JW,Flintridge Prep IL,"Michael Harris																																						DH Henderson																																						Miller Roberts","Neg																															Neg																															Neg","3-0																															NEG"
Loyola RV,BASIS Silicon Valley YS,"Zaid Umar																																						Elodie Szlasa																																						Christian Bohmer","Aff																															Aff																															Aff","3-0																															AFF"
Harvard-Westlake LS,Loyola ED,"Gordon Krauss																																						Vansh Angi																																						Miller Roberts","Aff																															Aff																															Aff","3-0																															AFF"
Harker AP,Dougherty Valley SL,"Lucia Patterson																																						Isaac Chan																																						Arjun Banerjee","Neg																															Aff																															Neg","2-1																															NEG"
Marlborough LS,Immaculate Heart ES,"Valerie Li																																						jason courville																																						Adam Lipton","Neg																															Aff																															Aff","2-1																															AFF"
