Aff,Neg,Judges,Votes,Win
Peninsula SU,Dougherty Valley SL,"Aaron Kim																																						Conner Shih																																						Patrick Fox","Aff																															Aff																															Aff","3-0																															AFF"
Harker LC,Harvard-Westlake LS,"Curtis Ortega																																						Clare Bradley																																						Gerard Grigsby","Aff																															Aff																															Aff","3-0																															AFF"
Loyola RV,Harker SD,"Jacob Nails																																						Gordon Krauss																																						Shreeram Modi","Neg																															Neg																															Neg","3-0																															NEG"
Flintridge Prep IL,Harker SS,"Noah Christiansen																																						Emmelyne Lay																																						Arjun Banerjee","Aff																															Aff																															Neg","2-1																															AFF"
Harker NB,ModernBrain JR,"Adam Mimou																																						Curtis Ortega																																						Emmelyne Lay","Neg																															Aff																															Aff","2-1																															AFF"
Harvard-Westlake AS,BASIS Silicon Valley VP,"Jacob Nails																																						Tanya Wei																																						Adam Lipton","Aff																															Aff																															Aff","3-0																															AFF"
Monta Vista EY,Harker SSe,"Sai Karavadi																																						Christopher Liu																																						Simone Pisarik","Neg																															Aff																															Aff","2-1																															AFF"
Gunn SP,Lynbrook BZ,"Patrick Fox																																						Abhinav Kasturi																																						Stephen Lewis","Neg																															Neg																															Aff","2-1																															NEG"
Harker AA,Sharks Independent WL,"Avery Wilson																																						Shreeram Modi																																						Mark Kivimaki","Neg																															Neg																															Neg","3-0																															NEG"
Evergreen Valley SK,Harker TP,"Noah Christiansen																																						Lucia Patterson																																						Sai Karavadi","Neg																															Aff																															Neg","2-1																															NEG"
Marlborough AM,Lynbrook OM,"Valerie Li																																						Conner Shih																																						Arthur Qin","Neg																															Neg																															Aff","2-1																															NEG"
Harker ASa,Barrington AC,"Mark Kivimaki																																						Jonathan Meza																																						Zhian Xu","Aff																															Aff																															Aff","3-0																															AFF"
Lynbrook VV,Harker AS,"Avery Wilson																																						Lucia Patterson																																						Abhinav Kasturi","Aff																															Aff																															Neg","2-1																															AFF"
Westwood AU,Riverside Independent SH,"Michael Brand																																						Ethan Chen																																						Vontrez White","Neg																															Neg																															Neg","3-0																															NEG"
Loyola TH,Interlake JP,"Gordon Krauss																																						Michael Harris																																						Christian Bohmer","Neg																															Neg																															Neg","3-0																															NEG"
Marlborough LS,Marlborough OO,,Marlborough OO advances,Marlborough OO advances
