Aff,Neg,Judges,Votes,Win
Memorial EJ,Princeton Day MW,"Cyrus Jackson																																						Pranjal Verma																																						Suhani Jampala","Aff																															Aff																															Neg","2-1																															AFF"
Lynbrook AS,American SS,"Amanda Nobra																																						Jade Wu																																						Gopal kumar","Aff																															Aff																															Neg","2-1																															AFF"
Hunter AC,Horace Greeley SG,"Rob Sosa																																						Nicholas Ford																																						James Jude","Neg																															Neg																															Neg","3-0																															NEG"
Holy Trinity Episcopal CH,Altamont SB,"Blake Ziegler																																						Zoran Curgus																																						Sophia Dal Pra","Neg																															Aff																															Neg","2-1																															NEG"
Ridge HK,City Honors JB,"Gilsun Yu																																						Michael Harris																																						Jasmin Vicente","Aff																															Aff																															Neg","2-1																															AFF"
Coppell KT,Marlborough SS,"Grant Brown																																						Devin Jiang																																						Isaiah Salgado","Aff																															Aff																															Aff","3-0																															AFF"
Equality Independent SJ,Cherry Hill HS East CR,"Dexter Winn																																						Jerenisha Funchess																																						Kushagra Mahajan","Aff																															Neg																															Aff","2-1																															AFF"
BASIS Scottsdale SS,Harrison AG,"Donald Broussard																																						Scott Brown																																						Rowan MacLean","Aff																															Neg																															Aff","2-1																															AFF"
Awty International DR,Chaminade OS,"Bo Zeng																																						Jessica Vaisman																																						KALPESH PAREKH","Neg																															Aff																															Aff","2-1																															AFF"
Meadows TB,Harrison PB,"Leah Clark-Villanueva																																						Garrett Bishop																																						Lucky Chiniasye","Aff																															Aff																															Aff","3-0																															AFF"
Pinewood CA,Equality Independent BJ,"Matthew Chi																																						Brian Son																																						Yi Liu","Aff																															Aff																															Neg","2-1																															AFF"
ADL VK,Berkeley Carroll JH,"Sonali Nicola																																						Diego Arcos																																						Xin Zhao","Aff																															Aff																															Aff","3-0																															AFF"
Altamont MF,Dougherty Valley SL,"Elizabeth Nicaj																																						Nicholas Santiago																																						Lindsey McNamara","Neg																															Neg																															Neg","3-0																															NEG"
Monta Vista SC,Edgemont AP,"Harish Gaggar																																						Elizabeth Elliott																																						Ruiting Wu","Neg																															Neg																															Aff","2-1																															NEG"
Lexington OO,Harrison FW,"Amanda Ciocca																																						Lydia Aklilu																																						Tahj Johnson","Aff																															Aff																															Aff","3-0																															AFF"
Golden State SL,Awty International AZ,"Max Perin																																						Matt Cekanor																																						Subrata Saharoy","Neg																															Neg																															Neg","3-0																															NEG"
Lynbrook RS,Research Triangle KP,"Elmer Yang																																						Andrei Nemoianu																																						Lydia Wang","Neg																															Aff																															Aff","2-1																															AFF"
Trinity Prep GP,Harrison SE,"Chloe Wolf																																						Valorie Lam																																						Jordan Berry","Neg																															Neg																															Neg","3-0																															NEG"
Horace Greeley CC,Southlake Carroll SK,"Flora Zhu																																						Elvis Pineda																																						Joseph Barquin","Aff																															Aff																															Aff","3-0																															AFF"
Gunn CH,Langham Creek LY,"Briajia Levi																																						Aman Jha																																						Donhee Ham","Neg																															Neg																															Aff","2-1																															NEG"
Veritas Independent TI,Sharks Independent KW,"Yalin Wang																																						Cyris Lim																																						Clayton Taylor","Neg																															Neg																															Neg","3-0																															NEG"
Holy Trinity Episcopal AR,BASIS Silicon Valley YS,"Rose Larson																																						Saied Beckford																																						Hao Wang","Neg																															Neg																															Neg","3-0																															NEG"
Woodlands Independent ML,Harrison AN,"Danielle Sack																																						Anthony Berryhill																																						Colter Heirigs","Neg																															Neg																															Neg","3-0																															NEG"
Strake Jesuit  MZ,BASIS Silicon Valley VP,"Katie DeBois																																						Daniel Shi																																						Avery Wilson","Aff																															Neg																															Neg","2-1																															NEG"
Southlake Carroll IM,Marlborough AL,"Ayman Badawy																																						Carlye Sanchez																																						Lina Guo","Aff																															Aff																															Aff","3-0																															AFF"
Peninsula JE,Brearley IL,"Hunter Harwood																																						Kate Totz																																						Akshay Agarwal","Aff																															Neg																															Neg","2-1																															NEG"
Marlborough SM,Marlborough OO,,Marlborough OO advances,Marlborough OO advances
