Aff,Neg,Judges,Votes,Win
Horace Greeley AM,Brearley IL,"Sonali Nicola																																						Joseph Barquin																																						Valorie Lam","Aff																															Aff																															Aff","3-0																															AFF"
Southlake Carroll IM,Kent Denver CM,"Elmer Yang																																						Rose Larson																																						Michael Harris","Aff																															Aff																															Aff","3-0																															AFF"
Marlborough OO,MSTW Independent AP,"Katie DeBois																																						Ayman Badawy																																						Diego Arcos","Aff																															Aff																															Neg","2-1																															AFF"
Northern Valley AC,BASIS Silicon Valley VP,"Nicholas Santiago																																						Daniel Shi																																						Elvis Pineda","Neg																															Neg																															Aff","2-1																															NEG"
Memorial BL,Harrison AN,"Leah Clark-Villanueva																																						Saied Beckford																																						Subrata Saharoy","Aff																															Aff																															Neg","2-1																															AFF"
BASIS Silicon Valley YS,Memorial EJ,"Pranjal Verma																																						Aman Jha																																						Roy Brace","Neg																															Neg																															Neg","3-0																															NEG"
Sharks Independent KW,Lynbrook AS,"Chloe Wolf																																						Anthony Berryhill																																						Amanda Ciocca","Neg																															Aff																															Aff","2-1																															AFF"
Horace Greeley SG,Langham Creek LY,"Elizabeth Nicaj																																						Lydia Aklilu																																						Lucky Chiniasye","Aff																															Aff																															Aff","3-0																															AFF"
Altamont SB,Horace Greeley CC,"Kate Totz																																						Grant Brown																																						Sophia Dal Pra","Neg																															Aff																															Aff","2-1																															AFF"
Harrison SE,Ridge HK,"Blake Ziegler																																						Haiping Wang																																						Colter Heirigs","Neg																															Neg																															Neg","3-0																															NEG"
Coppell KT,Lynbrook RS,"Mingyuan Wang																																						Nicholas Ford																																						Matthew Hayes","Aff																															Aff																															Aff","3-0																															AFF"
Equality Independent SJ,Awty International AZ,"Zhiying Hu																																						Matthew Chi																																						Kushagra Mahajan","Neg																															Neg																															Neg","3-0																															NEG"
BASIS Scottsdale SS,Lexington OO,"Max Perin																																						Brian Son																																						Parvathy Mohan","Neg																															Aff																															Neg","2-1																															NEG"
Edgemont AP,Awty International DR,"Briajia Levi																																						Cyrus Jackson																																						Jason Paul","Aff																															Aff																															Neg","2-1																															AFF"
Meadows TB,Dougherty Valley SL,"Suhani Jampala																																						Gordon Krauss																																						Gopal kumar","Neg																															Neg																															Neg","3-0																															NEG"
Pinewood CA,ADL VK,"Scott Brown																																						Lydia Wang																																						Tahj Johnson","Neg																															Neg																															Aff","2-1																															NEG"
