Aff,Neg,Judges,Votes,Win
West HS SLC LM,Clear Lake CW,"Sam Anderson																																						Devin Jiang																																						Brian Son","Aff																															Aff																															Aff","3-0																															AFF"
Able2Shine MS,BASIS Silicon Valley JK,"Wyatt Hatfield																																						Jonathan Meza																																						Lydia Wang","Neg																															Neg																															Neg","3-0																															NEG"
Bellevue Youth AM,Dougherty Valley SV,"Kenneth McMillen																																						Shrayes Gunna																																						Gary Cowdrey-Mota","Aff																															Aff																															Neg","2-1																															AFF"
ADL VK,Dougherty Valley PN,"Elizabeth Nicaj																																						Adam Lipton																																						Kelly Brace","Neg																															Neg																															Aff","2-1																															NEG"
Riverside Independent SH,Lynbrook ST,"Rob Sosa																																						Rowan MacLean																																						Aimee Trivino","Neg																															Aff																															Aff","2-1																															AFF"
Papaya Valley AA,Lynbrook OM,"Ilan Boguslavsky																																						Bhavya Mehta																																						Matt Cekanor","Neg																															Neg																															Neg","3-0																															NEG"
Northern Valley AC,Veritas Independent TI,"Louis Ewington																																						Saied Beckford																																						Juan Boscan","Neg																															Aff																															Aff","2-1																															AFF"
Sharks Independent KW,Pingry SH,"Evelyn Asay																																						Shawn Lo																																						Sabrina To","Neg																															Aff																															Neg","2-1																															NEG"
Hunter AC,Holy Trinity Episcopal CH,"Chelsea Hodgson																																						Jordan Brown																																						Cyrus Jackson","Neg																															Neg																															Neg","3-0																															NEG"
Horace Greeley CC,Dougherty Valley NM,"El Barney																																						Emilio Garza																																						Lily Nakakura","Aff																															Aff																															Aff","3-0																															AFF"
Pinewood CA,Park Vista CN,"Scott Brown																																						Ishan Rereddy																																						Ben Clarke","Aff																															Neg																															Neg","2-1																															NEG"
Sharks Independent JZ,Harrison SE,"Lucky Chiniasye																																						Saketh Kotapati																																						Amanda Ciocca","Aff																															Neg																															Neg","2-1																															NEG"
Lexington OO,Southlake Carroll SK,"David Guidry																																						Elmer Yang																																						Andy Chen","Aff																															Aff																															Aff","3-0																															AFF"
Strake Jesuit  DV,Northview JZ,"Briajia Levi																																						Alyssa Yuan																																						Jade Wu","Aff																															Neg																															Neg","2-1																															NEG"
Coppell KT,Southlake Carroll IM,"Carlye Sanchez																																						Kate Totz																																						Vik Maan","Neg																															Aff																															Neg","2-1																															NEG"
Harker AA,Brophy VW,"Jacob Nails																																						Aman Jha																																						James Jude","Aff																															Aff																															Aff","3-0																															AFF"
Little Rock Central GT,St Luke's SM,"Ivelisse Tirado																																						Monben Mayon																																						Kush Vijapure","Aff																															Aff																															Neg","2-1																															AFF"
Awty International AZ,Barrington AC,"Joey Antonelli																																						Michael Harris																																						Matthew Chi","Neg																															Neg																															Aff","2-1																															NEG"
