Aff,Neg,Judges,Votes,Win
Strake Jesuit  JW,Ridge MS,"Bennett Eckert																																						Tajaih Robinson																																						Tom Evnen","Neg																															Neg																															Neg","3-0																															NEG"
Lexington RB,Cabot KB,"Rose Larson																																						Karen Byron																																						Samara Cuaresma","Aff																															Aff																															Neg","2-1																															AFF"
Plano West SG,Edgemont VS,"Judy Cheng																																						Charles Zenhausern																																						Neil Buhl","Neg																															Neg																															Aff","2-1																															NEG"
Bronx Science LS,Maccabees RS,"Chetan Hertzig																																						Jharick Shields																																						James Miller","Aff																															Aff																															Aff","3-0																															AFF"
American Heritage Broward JX,Phillips Exeter JL,"Eva Lamberson																																						Anu Harindran																																						Alexandar Ball","Aff																															Neg																															Aff","2-1																															AFF"
Stuyvesant AQ,Colleyville Heritage CB,"Kathryn DeBois																																						Steven Sigler																																						Nick Malinak","Neg																															Neg																															Neg","3-0																															NEG"
Greenhill SK,Carrollwood Day GL,"Sara Chun																																						Quentin Scruggs																																						Aimee Saunders","Neg																															Aff																															Aff","2-1																															AFF"
Hill JG,Edgemont AP,"Brooke Schiano-Gonzalez																																						Anderson Hendrix																																						David Cai","Neg																															Neg																															Neg","3-0																															NEG"
Brophy VW,Scarsdale VT,"Elizabeth Nicaj																																						Jyoti Pathak																																						Susi Campbell","Neg																															Aff																															Aff","2-1																															AFF"
Palo Alto YZ,Lexington OO,"Amanda Ciocca																																						Kamran Mahmood																																						Arthur Kulawik","Neg																															Neg																															Aff","2-1																															NEG"
Princeton Day MW,Greenhill VT,"Ryan Love																																						Saied Beckford																																						Niranjan Deshpande","Neg																															Neg																															Neg","3-0																															NEG"
New York State Independent AS,Park Vista CN,"Dylan Sutton																																						Kumail Zaidi																																						Kensho Nishio","Neg																															Neg																															Aff","2-1																															NEG"
Cary Acad TB,Bridgewater Raritan AP,"Adam Kesselman																																						Alpa Arora																																						Mark Halpern","Neg																															Aff																															Neg","2-1																															NEG"
Lexington KZ,Plano West RC,"Chris Castillo																																						Luke Schooler																																						Will Trinh","Neg																															Aff																															Neg","2-1																															NEG"
Bronx Science CH,American Heritage Broward ES,"Osmane Sanogo																																						Nikitha Thoduguli																																						Henry Ediger","Neg																															Neg																															Neg","3-0																															NEG"
Cary Acad LM,Millburn VS,"Colton Gilbert																																						Zhiying Hu																																						Fei-Lu Qian","Neg																															Aff																															Neg","2-1																															NEG"
Brophy YS,Strake Jesuit  LC,"Joe Zhao																																						Aaron Yi																																						Casey Meyer","Aff																															Neg																															Neg","2-1																															NEG"
Greenhill MA,Harrison AGa,"Blake Ziegler																																						Isaiah Muniz																																						Chloe Wolf","Aff																															Neg																															Aff","2-1																															AFF"
Lexington NP,Pennsbury AW,"Alicia Stickle																																						Meg Bratt																																						Ethan Park","Aff																															Neg																															Neg","2-1																															NEG"
Waring MB,Lake Highland Prep CG,"Philimon Yosafat																																						Agastya Sridharan																																						Kush Vijapure","Neg																															Aff																															Neg","2-1																															NEG"
Walt Whitman SC,Millard North KB,"Ravi Sitwala																																						Lauren Upadhyay																																						Jordan Brown","Aff																															Neg																															Neg","2-1																															NEG"
Holy Trinity Episcopal CH,American Heritage Broward CM,"Sean Wallace																																						Ayman Badawy																																						Jacob Smith","Neg																															Neg																															Neg","3-0																															NEG"
Hunter GK,Sehome RS,"Aidan Etkin																																						Yash Agrawal																																						Chansey Agler","Neg																															Neg																															Neg","3-0																															NEG"
Robinson AD,Strake Jesuit  EX,"Tasneem Ghadiali																																						Priya Aggarwal																																						Eric Huang","Aff																															Neg																															Neg","2-1																															NEG"
Strake Jesuit  BB,BASIS Scottsdale JV,"Andrew Brandt																																						David Asafu-Adjaye																																						Jamie Hao","Aff																															Aff																															Aff","3-0																															AFF"
