Aff,Neg,Judges,Votes,Win
Strake Jesuit  BB,Horace Greeley SG,"Tajaih Robinson																																						Jordan Brown																																						Kush Vijapure","Neg																															Neg																															Neg","3-0																															NEG"
Strake Jesuit  EX,Acton-Boxborough NK,"Rose Larson																																						Will Trinh																																						Niranjan Deshpande","Neg																															Neg																															Neg","3-0																															NEG"
Sehome RS,American Heritage Broward ZC,"Eva Lamberson																																						Chris Castillo																																						Aidan Etkin","Neg																															Neg																															Neg","3-0																															NEG"
Vestavia Hills VZ,American Heritage Broward CM,"Eva Lamberson																																						Chris Castillo																																						Ayman Badawy","Neg																															Neg																															Aff","2-1																															NEG"
Strake Jesuit  SR,Millard North KB,"Brooke Schiano-Gonzalez																																						Chloe Wolf																																						Yash Agrawal","Aff																															Aff																															Aff","3-0																															AFF"
Lake Highland Prep CG,St Thomas CO,"Spencer Swickle																																						Wyatt Hatfield																																						Louis Ewington","Neg																															Neg																															Neg","3-0																															NEG"
Plano West AR,Pennsbury AW,"Haiping Wang																																						Neil Buhl																																						Ash Bu","Aff																															Aff																															Aff","3-0																															AFF"
Greenhill MA,Northland Christian LM,"Colton Gilbert																																						Nate Watkins																																						Philimon Yosafat","Aff																															Aff																															Aff","3-0																															AFF"
Harrison FW,Strake Jesuit  LC,"Tom Evnen																																						Jamie Hao																																						Kumail Zaidi","Aff																															Neg																															Neg","2-1																															NEG"
McNeil NV,Millburn VS,"Quentin Scruggs																																						Shubham Kumar																																						Madhavi Chikka","Neg																															Aff																															Neg","2-1																															NEG"
American Heritage Broward ES,Memorial EJ,"Amanda Ciocca																																						Jamie Hao																																						Kumail Zaidi","Neg																															Neg																															Neg","3-0																															NEG"
Greenhill DM,Plano West RC,"Colton Gilbert																																						Luke Schooler																																						Garrett Bishop","Aff																															Neg																															Aff","2-1																															AFF"
Bridgewater Raritan AP,Plano West ZM,"Deena McNamara																																						Andrew Brandt																																						Kush Vijapure","Neg																															Neg																															Neg","3-0																															NEG"
Lake Highland Prep NA,Park Vista CN,"Anderson Hendrix																																						Mirei Saneyoshi																																						Jacob Smith","Aff																															Neg																															Neg","2-1																															NEG"
Greenhill VT,Cary Acad RP,"Jacob Skolnick																																						Dylan Sutton																																						Nate Watkins","Aff																															Aff																															Aff","3-0																															AFF"
Lexington OO,Ridge SK,"Blake Ziegler																																						David Asafu-Adjaye																																						Priya Aggarwal","Neg																															Neg																															Neg","3-0																															NEG"
Strake Jesuit  KS,Brophy VW,"Adam Kesselman																																						Tom Evnen																																						Ethan Park","Aff																															Aff																															Aff","3-0																															AFF"
Mountain Lakes EW,Edgemont AP,"Anderson Hendrix																																						Spencer Orlowski																																						Jordan Keller","Neg																															Aff																															Neg","2-1																															NEG"
Greenhill SK,Strake Jesuit  SW,"Chetan Hertzig																																						Kensho Nishio																																						Jordan Keller","Aff																															Neg																															Aff","2-1																															AFF"
Colleyville Heritage CB,Horace Greeley CC,"Andrew Brandt																																						Rose Larson																																						Chansey Agler","Aff																															Aff																															Neg","2-1																															AFF"
Memorial AW,American Heritage Broward JX,"Tajaih Robinson																																						Ayman Badawy																																						Philimon Yosafat","Aff																															Neg																															Aff","2-1																															AFF"
Woodlands Independent ML,Bronx Science LS,"Rodrigo Paramo																																						Nikitha Thoduguli																																						Will Trinh","Neg																															Neg																															Neg","3-0																															NEG"
Edgemont VS,Cape Fear MS,"Kamran Mahmood																																						Aimee Saunders																																						Madhavi Chikka","Neg																															Neg																															Neg","3-0																															NEG"
Northern Valley AC,Lexington RB,"Arthur Kulawik																																						Priya Aggarwal																																						Ash Bu","Aff																															Aff																															Neg","2-1																															AFF"
Plano West NS,Ridge MS,"Amanda Ciocca																																						David Asafu-Adjaye																																						Ethan Park","Neg																															Neg																															Neg","3-0																															NEG"
St Andrew's Episcopal MK,Lake Highland Prep CB,"Anu Harindran																																						Mark Halpern																																						Shubham Kumar","Aff																															Neg																															Aff","2-1																															AFF"
Strake Jesuit  MZ,Colleyville Heritage GM,"Jharick Shields																																						Niranjan Deshpande																																						Agastya Sridharan","Neg																															Neg																															Neg","3-0																															NEG"
Berkeley Carroll JH,Bronx Science KL,"Bennett Eckert																																						Nigel Taylor-Ward																																						Chansey Agler","Neg																															Aff																															Aff","2-1																															AFF"
Memorial BL,Harrison AG,"Dylan Sutton																																						Nicholas Ford																																						Aidan Etkin","Neg																															Neg																															Neg","3-0																															NEG"
McNeil AS,Southlake Carroll AB,"Wyatt Hatfield																																						Luke Schooler																																						Yash Agrawal","Aff																															Neg																															Aff","2-1																															AFF"
Phillips Exeter ES,Holy Trinity Episcopal AR,"Nicholas Ford																																						Mirei Saneyoshi																																						Jacob Smith","Neg																															Aff																															Aff","2-1																															AFF"
Ridge AM,Chaminade OS,"Anu Harindran																																						Frances Yong																																						Agastya Sridharan","Neg																															Aff																															Neg","2-1																															NEG"
