Aff,Neg,Judges,Votes,Win
Horace Greeley SG,Chaminade OS,"Mark Halpern																																						Jyoti Pathak																																						Mirei Saneyoshi","Aff																															Aff																															Neg","2-1																															AFF"
Acton-Boxborough NK,Phillips Exeter ES,"Adam Kesselman																																						Chris Castillo																																						Nicholas Ford","Neg																															Neg																															Neg","3-0																															NEG"
McNeil AS,American Heritage Broward ZC,"Amanda Ciocca																																						Ayman Badawy																																						Yash Agrawal","Aff																															Aff																															Aff","3-0																															AFF"
American Heritage Broward CM,Harrison AG,"Tajaih Robinson																																						David Asafu-Adjaye																																						Yash Agrawal","Neg																															Neg																															Neg","3-0																															NEG"
Strake Jesuit  SR,Berkeley Carroll JH,"Rose Larson																																						Ethan Park																																						Niranjan Deshpande","Aff																															Neg																															Neg","2-1																															NEG"
Colleyville Heritage GM,St Thomas CO,"Tajaih Robinson																																						Agastya Sridharan																																						Mirei Saneyoshi","Neg																															Neg																															Aff","2-1																															NEG"
St Andrew's Episcopal MK,Plano West AR,"Andrew Brandt																																						Agastya Sridharan																																						Ashley Lourenco","Neg																															Neg																															Neg","3-0																															NEG"
Greenhill MA,Ridge MS,"Brooke Schiano-Gonzalez																																						Aimee Trivino																																						Kumail Zaidi","Neg																															Neg																															Neg","3-0																															NEG"
Northern Valley AC,Strake Jesuit  LC,"Ayman Badawy																																						Niranjan Deshpande																																						Kush Vijapure","Neg																															Neg																															Neg","3-0																															NEG"
Millburn VS,Cape Fear MS,"Coby Hoffman																																						Adam Chawansky																																						Madhavi Chikka","Neg																															Neg																															Neg","3-0																															NEG"
Bronx Science LS,Memorial EJ,"Joey Antonelli																																						Nigel Taylor-Ward																																						David Asafu-Adjaye","Neg																															Neg																															Neg","3-0																															NEG"
Greenhill DM,Memorial AW,"Amanda Ciocca																																						Isaiah Muniz																																						Philimon Yosafat","Neg																															Neg																															Aff","2-1																															NEG"
Colleyville Heritage CB,Plano West ZM,"Spencer Swickle																																						Andrew Brandt																																						Jamie Hao","Aff																															Neg																															Neg","2-1																															NEG"
Greenhill SK,Park Vista CN,"Dylan Sutton																																						Chris Castillo																																						Kumail Zaidi","Aff																															Aff																															Aff","3-0																															AFF"
Greenhill VT,Edgemont AP,"Blake Ziegler																																						Chetan Hertzig																																						Harry Yu","Aff																															Neg																															Aff","2-1																															AFF"
Ridge SK,Strake Jesuit  KS,"Rose Larson																																						Ethan Park																																						Nikita Tanguturi","Neg																															Neg																															Neg","3-0																															NEG"
