Aff,Neg,Judges,Votes,Win
ADL HY,CleLak RZ,"Ethan Chen																																						Daphne O'Sullivan																																						Easton Peters","Neg																															Neg																															Neg","3-0																															NEG"
ADL KW,Stuyve AQ,"Miles Kshatriya																																						Emanuel Vargas																																						Jordan Keller","Aff																															Neg																															Aff","2-1																															AFF"
Stuyve KS,ColHer GM,"Timothy Zhang																																						Kafi Ummatul																																						Chloe Self","Aff																															Neg																															Neg","2-1																															NEG"
Greenh EX,ColHer CB,"Walter Willis																																						Jordan Keller																																						Chloe Self","Neg																															Neg																															Neg","3-0																															NEG"
Woodla ML,Cabot KB,"Zaid Rashid																																						Elmer Yang																																						Truman Le","Neg																															Neg																															Neg","3-0																															NEG"
Memori EW,CleLak CW,"Joe Kieklak																																						Ethan Chen																																						Easton Peters","Neg																															Neg																															Neg","3-0																															NEG"
Westwo DV,Memori BL,"Miles Kshatriya																																						Emanuel Vargas																																						Joel Henson","Neg																															Aff																															Neg","2-1																															NEG"
Memori AD,ADL VK,"Zaid Rashid																																						Kafi Ummatul																																						Truman Le","Neg																															Neg																															Neg","3-0																															NEG"
King DS,PinVie PB,"Elmer Yang																																						Kevon Haughton																																						Kristen StoutHart","Neg																															Neg																															Aff","2-1																															NEG"
Whitmn SC,NOCSAM JW,"Joel Henson																																						Joe Kieklak																																						Aaron Fernandez","Aff																															Aff																															Aff","3-0																															AFF"
