Aff,Neg,Judges,Votes,Win
Loyola MT,Marlborough LF,"Alice Waters																																						Sabrina To																																						Allyson Spurlock","Neg																															Neg																															Neg","3-0																															NEG"
Marlborough EF,Loyola TH,"Marge Strong																																						Shreeram Modi																																						Elvis Pineda","Neg																															Neg																															Neg","3-0																															NEG"
Loyola KO,Barrington AC,"Michael Harris																																						Ilan Boguslavsky																																						Ian Shone","Neg																															Neg																															Neg","3-0																															NEG"
Riverside Independent PK,Clear Lake RZ,"Alice Waters																																						Ilan Boguslavsky																																						Brian Son","Neg																															Neg																															Neg","3-0																															NEG"
Harvard-Westlake JT,Marlborough AM,"Adam Mimou																																						Julian Kuffour																																						Austin Loui","Neg																															Neg																															Neg","3-0																															NEG"
Harker ASa,Lynbrook NM,"Simone Pisarik																																						Sarah Martin																																						Elizabeth Su","Neg																															Neg																															Neg","3-0																															NEG"
Pinewood CA,Marlborough LS,"Marge Strong																																						Patrick Fox																																						Dylan Liu","Aff																															Neg																															Neg","2-1																															NEG"
Harker SS,Marlborough EP,"Adam Mimou																																						Shreeram Modi																																						Ryan Koh","Aff																															Aff																															Aff","3-0																															AFF"
Cupertino HS Independent AS,Harker AS,"Sabeeh Mirza																																						Sarah Martin																																						Elizabeth Su","Neg																															Neg																															Neg","3-0																															NEG"
St Francis ZC,Marlborough AK,"Sabrina To																																						Simone Pisarik																																						Allyson Spurlock","Neg																															Neg																															Neg","3-0																															NEG"
Loyola RV,Troy Independent JK,"Riley Rees																																						Megan Rodak																																						Ana Bittner","Aff																															Aff																															Aff","3-0																															AFF"
Harvard-Westlake EG,Argument Institute AP,"Lesly De Anda																																						Yardley Rosas																																						Riley Rees","Aff																															Neg																															Aff","2-1																															AFF"
Polytechnic KK,Marlborough SMo,"Travis Cochran																																						Megan Rodak																																						Ana Bittner","Neg																															Neg																															Neg","3-0																															NEG"
Immaculate Heart ES,Los Osos ZC,"Curtis Ortega																																						William Liu																																						Austin Loui","Aff																															Aff																															Aff","3-0																															AFF"
ADL VK,Marlborough RB,"William Liu																																						Patrick Fox																																						Dylan Liu","Neg																															Aff																															Neg","2-1																															NEG"
ModernBrain JH,Harker EX,"Sabeeh Mirza																																						Krizel Guansing																																						Cindy Chanay","Neg																															Neg																															Aff","2-1																															NEG"
Sharks Independent KW,ModernBrain JR,"Vontrez White																																						Jonathan Meza																																						Ian Shone","Aff																															Aff																															Aff","3-0																															AFF"
Loyola UT,Harvard-Westlake JW,"Norma Delgado																																						Travis Cochran																																						Julian Kuffour","Aff																															Aff																															Neg","2-1																															AFF"
Loyola ED,Loyola TG,,Loyola TG advances,Loyola TG advances
Harker LX,Harker RL,,Harker RL advances,Harker RL advances
Immaculate Heart NH,Immaculate Heart AE,,Immaculate Heart AE advances,Immaculate Heart AE advances
