Aff,Neg,Judges,Votes,Win
Loyola UT,Harvard-Westlake KM,"Norma Delgado																																						Travis Cochran																																						Ilan Boguslavsky","Neg																															Neg																															Neg","3-0																															NEG"
Lynbrook VV,Marlborough RB,"Marge Strong																																						Adam Mimou																																						Patrick Fox","Neg																															Aff																															Aff","2-1																															AFF"
Harvard-Westlake AS,Immaculate Heart ES,"Sabeeh Mirza																																						Curtis Ortega																																						Clare Bradley","Neg																															Aff																															Neg","2-1																															NEG"
Marlborough SMo,Monta Vista EY,"Sabrina To																																						Elizabeth Su																																						Ana Bittner","Neg																															Neg																															Neg","3-0																															NEG"
Immaculate Heart AE,Harvard-Westlake LS,"Cindy Chanay																																						Julian Kuffour																																						Allyson Spurlock","Neg																															Neg																															Neg","3-0																															NEG"
Harvard-Westlake EG,Clear Lake CW,"Curtis Ortega																																						Riley Rees																																						Patrick Fox","Aff																															Aff																															Aff","3-0																															AFF"
Loyola RV,Harker AP,"Clare Bradley																																						Elvis Pineda																																						Austin Loui","Neg																															Aff																															Aff","2-1																															AFF"
Harker ID,Marlborough AK,"Simone Pisarik																																						Shreeram Modi																																						Austin Loui","Neg																															Aff																															Aff","2-1																															AFF"
Harker SS,Marlborough LF,"Shreeram Modi																																						Sarah Martin																																						Elizabeth Su","Aff																															Neg																															Aff","2-1																															AFF"
Loyola TH,Marlborough LS,"Sabrina To																																						Julian Kuffour																																						Allyson Spurlock","Aff																															Neg																															Neg","2-1																															NEG"
Harker RL,Barrington AC,"Andrea Chow																																						Adam Mimou																																						Ryan Koh","Aff																															Neg																															Neg","2-1																															NEG"
Lynbrook NM,Clear Lake RZ,"William Liu																																						Alice Waters																																						Ilan Boguslavsky","Aff																															Aff																															Aff","3-0																															AFF"
Marlborough AM,Loyola TG,"Alice Waters																																						Megan Rodak																																						Sarah Martin","Aff																															Neg																															Aff","2-1																															AFF"
Sharks Independent KW,Sharks Independent WL,,Sharks Independent WL advances,Sharks Independent WL advances
Harker EX,Harker NB,,Harker NB advances,Harker NB advances
Harker AS,Harker LC,,Harker LC advances,Harker LC advances
