Aff,Neg,Judge,Win
Bellevue Youth NW,Phillips Exeter HZ,Srivani Uppalapati,Neg
Northland Christian LM,West Des Moines Valley SS,Amanda Ciocca,Aff
Stanford OHS ES,Golden State KB,Aman Jha,Aff
Loyola TH,Syosset AP,Brendan Finnegan,Aff
Clear Lake CW,Riverside Independent SH,Ivan Lin,Neg
Lynbrook AS,Archbishop Mitty AM,Lydia Wang,Aff
Sehome Independent RS,BASIS Scottsdale JV,Rowan MacLean,Neg
American Heritage Broward SL,Interlake RM,Jade Wu,Aff
Altamont SB,Lake Highland Prep AW,Matt Casas,Neg
Dougherty Valley NM,American Heritage Broward ES,Pinkky Shah,Aff
West Des Moines Valley ER,Altamont JG,Brianna Aaron,Aff
ModernBrain GH,Phillips Exeter AD,Michael Pulver,Neg
Loyola AK,Brophy NR,Jonathan Meza,Neg
Maccabees RS,Archbishop Mitty NM,Clement Agho-Otoghile,Aff
Marlborough SW,Golden State AB,Justin Schnitzer,Aff
Westwood SM,Sharks Independent WL,Lydia Aklilu,Neg
Dougherty Valley MJ,Bellevue Youth ZF,Charlie Finnish,Neg
ModernBrain DL,Cary Acad LM,Nelson Okunlola,Neg
Dougherty Valley PN,Hunter AC,Hunniya Ahmad,Neg
Westwood DV,Langham Creek EY,Jordan Brown,Neg
Northwood NC,Lynbrook ST,Faizaan Dossani,Neg
BASIS Scottsdale AK,Brophy VW,Zakai Petilon,Neg
Able2Shine MS,Valley Christian VX,Michael Harris,Aff
West Des Moines Valley JC,Archbishop Mitty AGo,Gary Boeger,Neg
Brophy AS,Marlborough AL,Ishan Rereddy,Neg
New York State Independent LL,MSTW Independent AP,Brie Thomas McGinnis,Aff
Harvard-Westlake AS,Loyola EM,Amadea Datel,Aff
Altamont MF,Trinity Prep GP,Chansey Agler,Neg
Brearley IL,Ridge SK,Nicholas Ford,Aff
Clear Lake RZ,Veritas Independent TI,Scott Brown,Aff
Phillips Exeter KG,Princeton Day MW,Gerard Grigsby,Aff
Altamont WM,Loyola MT,Nathan Weimar,Neg
Holy Trinity Episcopal AR,American RA,Abhi Elisetty,Aff
Cary Acad TB,Dublin SG,Elina Lee,Aff
Gunn SP,Horace Greeley AM,David Guidry,Aff
Marlborough EF,Able2Shine ZZ,Sonali Nicola,Aff
Marlborough OO,Awty International AZ,Isabella Maldia,Aff
ModernBrain AH,Albuquerque VM,Ross Johnson,Aff
New York State Independent AS,Berkeley Carroll JH,Elizabeth Elliott,Neg
Dougherty Valley HS,ModernBrain MG,Pranjal Verma,Aff
Bellevue Youth IH,Phillips Exeter JMa,Rich Simon,Aff
American Heritage Broward SM,Elkins SS,Avery Wilson,Aff
Montgomery DM,BASIS Peoria Independent SC,Subrata Saharoy,Aff
Edgemont VS,Sharks Independent JZ,Ryan Morgan,Aff
Dougherty Valley SL,ADL VK,Emilio Garza,Neg
Iowa City West VD,West HS SLC KS,Lucky Chiniasye,Neg
Universe 7 TD,Hunter GK,Reece Aguilar,Aff
