Aff,Neg,Judges,Votes,Win
Peninsula SU,Greenhill DM,"Ari Davidson																																						Holden Bukowsky																																						Kumail Zaidi","Aff																															Aff																															Aff","3-0																															AFF"
Memorial EJ,Head-Royce AJ,"Taylor Tsan																																						Julian Kuffour																																						Vontrez White","Neg																															Neg																															Neg","3-0																															NEG"
Monta Vista EY,Marlborough AM,"Julian Kuffour																																						Conner Shih																																						Ana Bittner","Neg																															Neg																															Neg","3-0																															NEG"
BASIS Silicon Valley JK,Lynbrook BZ,"Patrick Fox																																						Nick Loew																																						Emilio Menotti","Neg																															Neg																															Neg","3-0																															NEG"
Harrison FW,Horace Greeley SG,"Patrick Tapia																																						Mark Kivimaki																																						Rob Sosa","Neg																															Neg																															Neg","3-0																															NEG"
Lynbrook OM,Immaculate Heart ES,"Stephen Lewis																																						Adam Torson																																						Ilan Boguslavsky","Neg																															Aff																															Aff","2-1																															AFF"
Clear Lake RZ,Harvard-Westlake AS,"Adam Torson																																						Ilan Boguslavsky																																						Conner Shih","Neg																															Neg																															Aff","2-1																															NEG"
Colleyville Heritage GM,Harker SSe,"Elizabeth Elliott																																						Ari Davidson																																						Aidan Etkin","Neg																															Neg																															Neg","3-0																															NEG"
Greenhill VT,Harker AA,"Jack Quisenberry																																						Jordan Keller																																						Scott Phillips","Neg																															Neg																															Neg","3-0																															NEG"
McNeil AS,Phillips Exeter ES,"Ayman Badawy																																						Amanda Ciocca																																						Jack Quisenberry","Aff																															Aff																															Aff","3-0																															AFF"
Greenhill SK,Marlborough OO,"Holden Bukowsky																																						Adam Lipton																																						Samantha McLoughlin","Neg																															Aff																															Aff","2-1																															AFF"
Harker NB,Lynbrook VV,"Stephen Lewis																																						Ethan Greer																																						Jordan Keller","Neg																															Neg																															Neg","3-0																															NEG"
Harker LC,Plano West AR,"Truman Le																																						Mark Kivimaki																																						Aidan Etkin","Neg																															Neg																															Neg","3-0																															NEG"
Acton-Boxborough NK,Plano West SG,"Garrett Bishop																																						Nick Loew																																						Judah Jones","Aff																															Neg																															Neg","2-1																															NEG"
Coppell KT,Lake Highland Prep NA,"Eva Lamberson																																						David Asafu-Adjaye																																						Jacob Smith","Aff																															Aff																															Aff","3-0																															AFF"
Harker SD,Harker SS,,Harker SS advances,Harker SS advances
