Aff,Neg,Judges,Votes,Win
Harker AY,Gunn SP,"Max Perin																																						Matthew Stroud																																						Ben Cortez","Neg																															Neg																															Neg","3-0																															NEG"
Harvard-Westlake LS,Harker ASa,"Max Perin																																						Yardley Rosas																																						Clare Bradley","Neg																															Aff																															Aff","2-1																															AFF"
Harker SD,Marlborough LF,"Sarah Martin																																						Adarsh Agrawal																																						Emmelyne Lay","Aff																															Aff																															Aff","3-0																															AFF"
Harvard-Westlake MR,Marlborough DK,"Julian Kuffour																																						Dedeepya Rudraraju																																						Muzzi Khan","Aff																															Aff																															Aff","3-0																															AFF"
Flintridge Prep CX,Harker EX,"Elvis Pineda																																						Joseph Barquin																																						Alliana Sherie Huerto","Aff																															Aff																															Aff","3-0																															AFF"
Harker LX,Marlborough SS,"Adarsh Agrawal																																						Ben Cortez																																						Emmelyne Lay","Aff																															Neg																															Aff","2-1																															AFF"
Harker RL,Immaculate Heart ES,"Elvis Pineda																																						Clare Bradley																																						Anirv Ayyala","Neg																															Neg																															Aff","2-1																															NEG"
Marlborough SW,Harker RG,"Matthew Stroud																																						Sarah Martin																																						Anirv Ayyala","Neg																															Neg																															Neg","3-0																															NEG"
Harker SG,Harker NB,,Harker NB advances,Harker NB advances
Harker JA,Harker AS,,Harker AS advances,Harker AS advances
Marlborough AL,Marlborough OO,,Marlborough OO advances,Marlborough OO advances
Marlborough AK,Marlborough SMo,,Marlborough SMo advances,Marlborough SMo advances
Harker TP,Harker LL,,Harker LL advances,Harker LL advances
