Aff,Neg,Judges,Votes,Win
American Heritage Palm Beach DJ,Jellyfish Independent LW,"Kyna Shen																																						Christian Vasquez																																						Kate Canes","Aff																															Aff																															Aff","3-0																															AFF"
McLean LT,Vista Del Lago YK,"Shehzad Sami																																						Isaac Mazariegos																																						Emma Golden","Neg																															Neg																															Neg","3-0																															NEG"
Mission San Jose PS,Hunter SS,"Tanishka Tomar																																						Ken Bhardwaj																																						Hosna Dawlaty","Aff																															Aff																															Aff","3-0																															AFF"
Basis Langley Independent RC,Arlington LC,"Ting Chen																																						Jess Hughes																																						Sreenivasulu Gollapudi","Aff																															Neg																															Neg","2-1																															NEG"
BC Academy MP,Livingston YZ,"Sibabrata Mishra																																						Abhinav Jarajapu																																						Soma Ganti","Neg																															Aff																															Neg","2-1																															NEG"
Able2Shine YL,Avenues: The World CB,"Jayant Namdhari																																						Denzel Bell																																						Dawn Paciotti","Aff																															Neg																															Neg","2-1																															NEG"
Walton KL,Arlington PZ,"Sanjeev Vashist																																						Idris Ibrahim																																						Arrman Kapoor","Aff																															Neg																															Neg","2-1																															NEG"
Avenues: The World JY,American JP,"Jing Cai																																						Fiona Li																																						Tunde Toyin","Neg																															Neg																															Neg","3-0																															NEG"
Christopher Columbus GG,Lincoln East NB,"Pingdong Ai																																						Isabella Maldia																																						Klil Loeb","Neg																															Aff																															Aff","2-1																															AFF"
Lexington RS,McLean RW,"Beth Cole																																						Kika Agboifo																																						Gist Croft","Aff																															Aff																															Aff","3-0																															AFF"
Milpitas ND,Lexington LX,"Jamie Brashear																																						Sherry Huang																																						Dean Carman","Neg																															Neg																															Aff","2-1																															NEG"
Lexington HH,Livingston LG,"Brendan Bauschard																																						Wenping Lu																																						Aarthi Mohan","Neg																															Neg																															Aff","2-1																															NEG"
Lawrenceville AV,Fairmont Prep PJ,"Anne Rucker																																						Fuhai Li																																						Ben Targett","Neg																															Aff																															Neg","2-1																															NEG"
National Debate Club (NDC) LG,Pacific Blue Prep ZB,"Ara Mehran																																						Cathy Hu																																						Xiaorong Zhou","Neg																															Aff																															Aff","2-1																															AFF"
Livingston TZ,Dougherty Valley KT,"Christina Xu																																						Milind Dham																																						Yakub Islamov","Neg																															Aff																															Neg","2-1																															NEG"
NS Independent CY,NS Independent ZW,,NS Independent CY advances,NS Independent CY advances
